USB2G43178_1:101,,Capture_3:203,,Capture_4:204,,Capture_5:205,,Capture_6:206,
523,"6,24589",523,"4,32807",523,"-0,31823",523,"20,17064",523,"87,22046"
524,"6,0642",524,"1,48016",524,"-3,84429",524,"15,60036",524,"79,92217"
525,"10,3385",525,"6,39434",525,"0,38928",525,"23,33639",525,"69,71133"
526,"6,29545",526,"6,3722",526,"-7,31401",526,"23,65477",526,"70,08697"
527,"5,95695",527,"12,34304",527,"1,88178",527,"24,11194",527,"58,66067"
528,"0,7931",528,"6,3577",528,"4,00457",528,"31,18288",528,"63,23924"
529,"5,57299",529,"4,68488",529,"4,82276",529,"28,40005",529,"50,41635"
530,"7,65959",530,"9,84227",530,"5,56032",530,"35,47464",530,"47,67149"
531,"4,91632",531,"4,2937",531,"-0,36942",531,"39,23133",531,"34,08611"
532,"7,61025",532,"9,20091",532,"3,26022",532,"55,17252",532,"53,54369"
533,"7,5922",533,"7,63849",533,"1,10597",533,"54,58274",533,"38,87927"
534,"8,57923",534,"9,17952",534,"3,71542",534,"58,92044",534,"28,91486"
535,"4,82626",535,"4,57967",535,"-0,1529",535,"72,65766",535,"27,35517"
536,"0,12195",536,"11,00183",536,"1,34484",536,"83,88233",536,"30,25565"
537,"9,85241",537,"6,28389",537,"2,09331",537,"103,82497",537,"21,92957"
538,"3,55878",538,"9,54304",538,"2,21528",538,"113,13226",538,"25,75134"
539,"2,98203",539,"8,68953",539,"0,52146",539,"138,45861",539,"21,61636"
540,"5,12711",540,"9,35201",540,"6,96243",540,"154,46062",540,"23,41836"
541,"6,40312",541,"11,36088",541,"2,15242",541,"176,5058",541,"19,40626"
542,"6,34676",542,"14,87725",542,"9,41691",542,"221,57386",542,"18,43296"
543,"1,72369",543,"17,46089",543,"-4,12296",543,"231,4699",543,"22,46107"
544,"8,83224",544,"17,8786",544,"4,2461",544,"275,22875",544,"16,19144"
545,"9,91476",545,"24,81388",545,"3,21902",545,"324,58224",545,"10,55022"
546,"5,22569",546,"21,81874",546,"7,27095",546,"385,66885",546,"12,10374"
547,"5,50293",547,"18,21686",547,"-3,41327",547,"442,58167",547,"9,80389"
548,"6,50736",548,"28,88349",548,"1,22528",548,"525,2894",548,"11,62101"
549,"9,39955",549,"37,97698",549,"2,51611",549,"623,47551",549,"13,90035"
550,"11,86629",550,"49,08312",550,"2,74648",550,"749,26984",550,"10,61899"
551,"6,01122",551,"51,27656",551,"2,10456",551,"885,62369",551,"8,20017"
552,"4,17287",552,"62,46629",552,"-1,1332",552,"1058,01385",552,"9,23088"
553,"4,37021",553,"81,94243",553,"4,31653",553,"1282,20062",553,"10,01816"
554,"3,68471",554,"97,93834",554,"3,33516",554,"1522,36915",554,"13,84061"
555,"6,6363",555,"113,54404",555,"6,0739",555,"1799,4741",555,"3,40099"
556,"4,66151",556,"122,56578",556,"4,60409",556,"1945,46579",556,"7,01858"
557,"6,28479",557,"147,94978",557,"5,76591",557,"2142,62031",557,"9,64584"
558,"10,52174",558,"173,89804",558,"5,56631",558,"2302,46051",558,"4,52462"
559,"7,1601",559,"209,77721",559,"5,28729",559,"2396,58424",559,"5,30278"
560,"3,91401",560,"234,04532",560,"2,04446",560,"2519,75344",560,"4,14822"
561,"6,73897",561,"281,23886",561,"-2,26665",561,"2590,90344",561,"3,44048"
562,"4,94743",562,"333,72464",562,"2,37105",562,"2619,45916",562,"0,0853"
563,"5,76921",563,"386,50492",563,"2,92704",563,"2595,16118",563,"8,66582"
564,"7,55242",564,"471,42547",564,"9,09727",564,"2585,17164",564,"10,28467"
565,"8,97079",565,"506,11594",565,"6,95792",565,"2600,64188",565,"3,96775"
566,"1,13835",566,"586,04971",566,"4,18742",566,"2649,36",566,"6,03332"
567,"9,49697",567,"686,29158",567,"-0,68185",567,"2660,35922",567,"3,17744"
568,"6,23172",568,"776,17405",568,"4,36472",568,"2645,55445",568,"2,23164"
569,"2,49985",569,"881,56116",569,"2,03715",569,"2573,97738",569,"2,12429"
570,"-0,99224",570,"1011,1811",570,"1,20136",570,"2463,94706",570,"7,93231"
571,"3,6764",571,"1157,08343",571,"1,15064",571,"2314,08763",571,"3,90448"
572,"8,28982",572,"1335,84366",572,"5,28899",572,"2207,46631",572,"0,62772"
573,"5,23145",573,"1529,93949",573,"1,01386",573,"2067,0657",573,"0,01966"
574,"3,0164",574,"1674,19722",574,"5,01056",574,"1908,00769",574,"-3,93134"
575,"7,71526",575,"1857,15564",575,"2,79106",575,"1768,62939",575,"7,53038"
576,"6,93363",576,"2031,64665",576,"4,86697",576,"1618,80072",576,"0,81019"
577,"5,08989",577,"2197,90891",577,"9,66982",577,"1519,89089",577,"5,07585"
578,"4,56128",578,"2328,15198",578,"6,70671",578,"1409,68235",578,"3,24509"
579,"5,98585",579,"2424,87648",579,"-0,14233",579,"1293,22728",579,"-0,64523"
580,"9,62919",580,"2538,46069",580,"1,19644",580,"1226,58139",580,"2,83022"
581,"8,68404",581,"2594,90994",581,"1,50647",581,"1171,50549",581,"4,08464"
582,"3,43215",582,"2654,68567",582,"3,95418",582,"1078,84591",582,"3,3729"
583,"3,56294",583,"2692,96243",583,"9,66831",583,"1031,06034",583,"1,80503"
584,"1,04196",584,"2761,53019",584,"4,2722",584,"952,93148",584,"-0,38719"
585,"9,38912",585,"2768,51993",585,"2,52071",585,"893,63503",585,"7,89849"
586,"5,95103",586,"2814,21523",586,"9,18461",586,"835,33213",586,"-0,03826"
587,"2,78989",587,"2852,07319",587,"6,07332",587,"769,36839",587,"1,47639"
588,"0,44348",588,"2836,84086",588,"11,74632",588,"695,58675",588,"0,60397"
589,"9,23889",589,"2828,25837",589,"10,24049",589,"660,46723",589,"1,30601"
590,"4,0434",590,"2783,9818",590,"11,51197",590,"610,06444",590,"6,38636"
591,"4,05961",591,"2727,11585",591,"8,73712",591,"551,22439",591,"2,6702"
592,"3,7147",592,"2620,98597",592,"19,9304",592,"518,00793",592,"6,05296"
593,"5,88988",593,"2558,44823",593,"18,2972",593,"489,03684",593,"2,04047"
594,"3,36211",594,"2462,60767",594,"17,67977",594,"439,06748",594,"2,57142"
595,"-2,88202",595,"2349,0498",595,"21,76537",595,"425,86771",595,"0,39897"
596,"9,63484",596,"2260,59191",596,"26,11747",596,"381,80363",596,"4,59472"
597,"9,11392",597,"2165,5035",597,"32,28999",597,"362,83176",597,"-18,32066"
598,"9,72672",598,"2048,99435",598,"46,85312",598,"337,72026",598,"3,88938"
599,"-2,22751",599,"1937,54648",599,"45,87963",599,"301,13283",599,"-0,73114"
600,"7,26511",600,"1850,14827",600,"49,25901",600,"299,44404",600,"5,15791"
601,"4,33883",601,"1775,55418",601,"54,7342",601,"254,27863",601,"2,98038"
602,"12,36469",602,"1642,92924",602,"62,53168",602,"237,31077",602,"4,90533"
603,"6,07917",603,"1562,72989",603,"83,4339",603,"209,96174",603,"2,67268"
604,"10,84939",604,"1468,92367",604,"89,38082",604,"212,94453",604,"3,33579"
605,"1,11022",605,"1376,10294",605,"112,1858",605,"185,81772",605,"0,99271"
606,"4,53486",606,"1323,24259",606,"129,12131",606,"169,50414",606,"-1,47588"
607,"7,86259",607,"1248,86744",607,"147,55612",607,"166,68876",607,"6,1"
608,"4,31581",608,"1154,02616",608,"170,04175",608,"142,24702",608,"4,09894"
609,"2,65507",609,"1105,34398",609,"201,36551",609,"133,3389",609,"6,21327"
610,"6,03886",610,"1019,05672",610,"234,59253",610,"129,25053",610,"-1,49974"
611,"1,97904",611,"969,37549",611,"259,46845",611,"119,58586",611,"0,38761"
612,"0,26692",612,"879,88034",612,"297,77462",612,"108,85445",612,"1,49993"
613,"8,45542",613,"834,37609",613,"346,47574",613,"110,49782",613,"3,47481"
614,"23,05544",614,"821,76383",614,"403,82992",614,"156,97114",614,"19,32896"
615,"6,0745",615,"724,5037",615,"450,39311",615,"88,73169",615,"2,8903"
616,"-0,95367",616,"682,6974",616,"508,1018",616,"88,20601",616,"4,70524"
617,"4,46411",617,"632,34317",617,"561,53382",617,"73,22331",617,"3,21008"
618,"11,21004",618,"610,81497",618,"644,10919",618,"83,60938",618,"8,92285"
619,"3,81251",619,"565,61005",619,"700,80387",619,"64,52328",619,"4,25798"
620,"2,97058",620,"510,13855",620,"790,31481",620,"59,79095",620,"-0,8035"
621,"2,93588",621,"500,22654",621,"878,54619",621,"67,82809",621,"1,21566"
